term,sim_hosp,sim_praise,margin,freq,group
estruturada,0.4309934675693512,0.3609541952610016,0.07003927230834961,40,estru
sorrisos,0.4308590590953827,0.2486773431301117,0.182181715965271,60,sorri
tranquilidade,0.4308193325996399,0.31666049361228943,0.11415883898735046,284,tranq
imaginava,0.43079009652137756,0.39854633808135986,0.0322437584400177,30,imagi
celebracao,0.43023425340652466,0.362404465675354,0.06782978773117065,61,celeb
elevado,0.4302309453487396,0.3153216540813446,0.11490929126739502,43,eleva
incomparaveis,0.4299934506416321,0.3923491835594177,0.037644267082214355,41,incom
latina,0.42989814281463623,0.3936765789985657,0.03622156381607056,41,latin
segredos,0.42986926436424255,0.38791579008102417,0.041953474283218384,27,segre
filipina,0.42973315715789795,0.3502568304538727,0.07947632670402527,26,filip
louvaveis,0.4293275475502014,0.3424098789691925,0.08691766858100891,49,louva
aprendizado,0.429302841424942,0.32328107953071594,0.10602176189422607,528,apren
sincera,0.42921313643455505,0.29049965739250183,0.13871347904205322,146,since
treinadores,0.4292108714580536,0.2662208080291748,0.16299006342887878,149,trein
respeitosos,0.42913368344306946,0.3842780292034149,0.04485565423965454,82,respe
divertiu,0.4286954998970032,0.3919321596622467,0.03676334023475647,59,diver
funcionarias,0.42867451906204224,0.33642715215682983,0.0922473669052124,37,funci
equipado,0.4286310374736786,0.3455321490764618,0.0830988883972168,128,equip
ministradas,0.4281231164932251,0.36498501896858215,0.06313809752464294,31,minis
disciplina,0.42795345187187195,0.18980413675308228,0.23814931511878967,83,disci
criativo,0.427700936794281,0.38635462522506714,0.04134631156921387,239,criat
cuida,0.42716240882873535,0.3354089558124542,0.09175345301628113,75,cuida
atencao,0.4269772171974182,0.2998780608177185,0.1270991563796997,1775,atenc
risadas,0.4266427159309387,0.34873640537261963,0.07790631055831909,96,risad
decoracao,0.426143079996109,0.2943354845046997,0.1318075954914093,468,decor
apaixonar,0.425995409488678,0.3721848726272583,0.05381053686141968,48,apaix
prestativa,0.4257432818412781,0.404205322265625,0.021537959575653076,1003,prest
transforma,0.4256613552570343,0.31320855021476746,0.11245280504226685,41,trans
hospedei,0.42559951543807983,0.3852679431438446,0.04033157229423523,29,hospe
dominio,0.4254937171936035,0.3972192406654358,0.028274476528167725,37,domin
vegetacao,0.4254578948020935,0.347451776266098,0.07800611853599548,27,veget
parecesse,0.42477935552597046,0.3278539776802063,0.09692537784576416,52,parec
abraco,0.4246843159198761,0.4006430506706238,0.02404126524925232,111,abrac
fossemos,0.4244981110095978,0.2704792022705078,0.15401890873908997,73,fosse
ventre,0.42416760325431824,0.371591180562973,0.052576422691345215,102,ventr
prestou,0.4238952100276947,0.3995947539806366,0.024300456047058105,114,prest
familia,0.42382222414016724,0.368378221988678,0.05544400215148926,2551,famil
vive,0.42378801107406616,0.3037254810333252,0.12006253004074097,27,vive
